no,stage,x,y,z,tbxta,sox2,tagln3b,cdh6
1,18ss,47.0056,58.1067,153.296,1.07819,17,4.4108,1.23627
1,18ss,49.5438,66.0307,154.592,1.04807,17,5.2398,1.18446
1,18ss,47.5794,71.083,153.265,1.09957,21,4.73552,1.19705
1,18ss,55.8746,73.6799,152.909,1.34191,21,4.88178,1.24326
1,18ss,48.539,89.6839,155.022,1.2984,25,5.17155,1.44808
1,18ss,46.9393,95.0679,156.706,1.54144,24,5.93605,1.6718
1,18ss,47.0787,104.21,157.111,1.275,46,5.28586,1.31578
1,18ss,58.8094,103.399,153.452,1.3296,21,5.47105,1.3127
1,18ss,63.0434,98.1693,154.761,1.5627,22,6.54223,1.61834
1,18ss,55.9997,94.4078,155.636,1.50586,20,5.85535,1.57379
1,18ss,53.9445,110.869,155.592,1.56951,27,6.55414,1.61867
1,18ss,47.476,132.217,159.087,1.38539,40,5.5165,1.78427
1,18ss,67.9848,135.55,154.651,1.43285,101,5.949,2.47793
1,18ss,63.0771,117.602,153.916,1.32828,99,5.68066,2.12058
1,18ss,52.1326,119.161,156.796,1.29568,79,5.70797,2.02425
1,18ss,61.6376,128.75,156.9,1.54756,134,6.81195,3.16863
1,18ss,61.2412,121.07,157.8,1.45617,24,6.57039,2.00517
1,18ss,54.4218,129.228,157.816,1.46291,76,6.67315,3.25502
1,18ss,53.548,133.045,157.719,1.46955,109,6.26553,3.01005
1,18ss,76.7958,116.705,153.74,1.37391,68,5.59968,2.10508
1,18ss,79.2761,122.883,153.865,1.70442,123,6.13305,2.4789
1,18ss,70.812,125.404,155.609,1.38542,140,5.59866,2.35045
1,18ss,51.5775,142.122,154.171,1.36519,87,5.60342,2.46736
1,18ss,57.5534,149.323,154.664,1.29849,23,5.2499,1.70963
1,18ss,59.5903,145.685,155.736,1.27909,21,5.32198,1.68952
1,18ss,45.5219,78.3031,144.706,0.976946,91,4.42882,1.09325
1,18ss,51.0541,74.6994,141.795,0.970651,23,4.34117,0.993765
1,18ss,55.6335,81.0942,142.439,1.28558,16,4.68958,1.15269
1,18ss,49.8207,83.0631,143.437,1.42735,19,4.75222,1.09601
1,18ss,58.018,75.9502,143.774,1.08749,20,4.44083,1.04681
1,18ss,54.1072,91.4063,143.491,1.56009,20,5.1508,1.31371
1,18ss,65.5416,72.0632,145.464,1.19744,18,5.13363,1.18766
1,18ss,67.6758,84.2114,146.887,1.52138,21,5.07855,1.36921
1,18ss,49.3388,89.8879,146.312,1.27749,30,5.32727,1.26009
1,18ss,90.1719,90.3319,141.481,1.74796,24,6.00496,1.59536
1,18ss,73.1492,85.836,141.594,1.37567,24,4.94702,1.26733
1,18ss,80.8419,75.2971,143.088,1.39323,17,4.43718,1.11765
1,18ss,84.5822,86.5933,142.571,1.97375,73,5.07861,1.33245
1,18ss,84.6684,92.8549,142.803,1.38956,24,5.28788,1.33166
1,18ss,77.6625,91.4358,142.934,1.64551,23,5.17463,1.22622
1,18ss,76.5628,71.1349,145.302,1.49996,29,4.7812,1.21976
1,18ss,71.6395,91.1921,146.177,2.01642,40,5.3309,1.38498
1,18ss,91.3004,82.8874,146.15,1.51297,22,5.87142,1.55043
1,18ss,88.1702,76.2965,145.597,1.67136,26,4.98025,1.45642
1,18ss,82.0603,83.6888,146.435,1.36791,21,5.07078,1.23581
1,18ss,108.701,91.6282,142.067,1.40387,76,5.73217,1.89955
1,18ss,114.06,75.7448,143.062,2.56868,26,7.15736,1.67984
1,18ss,106.952,83.9009,143.081,1.33213,38,5.86154,1.55701
1,18ss,116.679,90.3518,143.497,1.89272,80,5.39201,1.81743
1,18ss,113.028,82.3328,143.881,1.84258,67,6.19737,1.98254
1,18ss,105.565,92.9459,144.815,1.24066,22,5.26363,1.41129
1,18ss,101.975,78.2328,144.115,1.40722,50,5.56923,1.49435
1,18ss,93.7791,75.1625,146.346,1.59993,22,5.55872,1.56359
1,18ss,46.5884,101.571,144.071,1.29552,18,4.60161,1.03665
1,18ss,67.7168,114.069,142.359,1.21244,50,6.06952,1.67185
1,18ss,68.8603,98.6259,142.492,1.43583,20,5.17569,1.29659
1,18ss,51.5413,101.636,142.086,1.33828,18,4.36578,1.00987
1,18ss,57.2437,100.76,142.25,1.12698,19,4.61703,1.11072
1,18ss,59.2391,114.599,144.195,1.25467,45,5.63674,1.57191
1,18ss,62.9415,97.0677,146.187,1.60298,19,5.18957,1.34189
1,18ss,81.8861,105.71,145.199,1.40436,37,5.81318,1.54389
1,18ss,72.9394,106.653,145.527,1.28309,23,6.0027,1.28201
1,18ss,74.6846,100.205,145.379,1.50923,20,5.72465,1.35672
1,18ss,90.7371,115.122,146.1,1.33964,52,6.18568,2.60012
1,18ss,88.2456,107.8,146.982,1.41403,74,5.80426,2.04459
1,18ss,99.3819,108.65,140.863,1.40059,67,5.81897,1.69222
1,18ss,94.5467,103.36,141.414,1.29845,78,5.74392,1.49841
1,18ss,116.227,103.751,145.307,1.15666,19,5.22864,1.424
1,18ss,101.067,104.435,146.147,1.28973,25,6.01004,1.47703
1,18ss,117.591,111.058,140.641,1.88561,130,5.80784,2.51817
1,18ss,131.099,103.048,142.003,3.33827,65,6.25031,2.69286
1,18ss,135.032,111.052,142.066,1.49048,22,5.53377,1.6354
1,18ss,122.523,103.85,142.533,2.32261,117,6.3759,3.0382
1,18ss,126.42,114.486,142.98,2.37218,138,6.04781,2.30817
1,18ss,46.2621,124.513,145.379,1.48113,238,6.62739,6.71098
1,18ss,59.3143,128.45,142.204,1.41734,108,6.35531,6.09442
1,18ss,60.8331,121.274,142.134,1.19692,152,6.08394,5.33559
1,18ss,66.2808,120.227,142.506,1.25231,162,6.06997,4.34753
1,18ss,65.777,133.099,143.165,1.196,134,5.77598,4.28263
1,18ss,50.7176,132.956,145.232,1.50913,136,8.14784,9.60648
1,18ss,51.5788,118.861,145.289,1.40139,98,6.8828,7.41805
1,18ss,62.7329,124.153,146.288,1.43648,182,6.91054,7.3702
1,18ss,78.3869,133.403,141.82,1.1337,52,5.88589,5.63427
1,18ss,86.486,135.541,142.288,2.40146,72,6.1186,6.31419
1,18ss,85.9151,117.704,142.547,1.46464,111,6.32056,6.0081
1,18ss,91.2251,131.557,143.991,1.72098,43,4.97675,2.25242
1,18ss,80.4092,123.259,145.859,1.52273,181,6.1025,5.21384
1,18ss,103.35,137.252,142.746,1.13359,22,4.63828,2.23702
1,18ss,106.524,117.794,142.577,1.44869,102,5.49853,2.36323
1,18ss,95.7736,118.295,143.489,1.40377,76,5.62153,1.79015
1,18ss,112.679,123.228,143.663,1.28185,99,5.1334,1.88691
1,18ss,98.3793,131.814,143.862,1.18441,36,4.33877,1.63344
1,18ss,101.116,124.125,145.002,1.18375,42,4.77815,1.71442
1,18ss,116.842,116.948,146.687,0.98112,17,4.53946,1.36148
1,18ss,129.221,128.029,142.585,1.19609,19,5.05508,1.43018
1,18ss,115.333,129.632,143.603,1.3849,58,5.02853,1.68804
1,18ss,47.0169,152.454,141.466,1.6986,148,9.01089,13.4164
1,18ss,48.9819,155.801,145.491,1.36171,48,5.98689,3.36284
1,18ss,60.6298,140.799,141.565,1.2071,134,6.03411,5.63065
1,18ss,50.3103,150.006,142.253,1.71287,134,9.52204,15.5424
1,18ss,63.8274,152.766,143.278,1.49845,192,6.52633,7.07929
1,18ss,68.8745,144.176,145.063,1.56189,82,6.96852,7.21976
1,18ss,50.9656,144.159,147.005,1.90203,254,7.96153,8.98801
1,18ss,59.1488,144.622,146.6,1.36106,188,6.86633,6.65564
1,18ss,87.8653,147.44,143.733,1.10518,22,4.52363,1.76471
1,18ss,75.0234,140.236,145.151,1.65239,100,6.74986,7.30267
1,18ss,87.9249,142.041,144.867,1.14822,17,4.64543,1.8088
1,18ss,82.4929,153.487,145.536,1.18452,26,4.77842,1.68947
1,18ss,107.334,145.698,141.476,1.23898,22,4.47479,1.7344
1,18ss,96.0392,149.807,144.14,1.22917,21,4.47623,1.40232
1,18ss,97.0005,154.788,143.701,1.00636,17,4.29572,1.28876
1,18ss,98.7176,142.365,147.014,0.946868,37,4.04481,1.23008
1,18ss,99.8907,145.635,147.167,0.965112,24,4.13716,1.17234
1,18ss,116.76,142.307,141.669,0.969798,20,4.02564,1.35715
1,18ss,120.923,139.308,144.855,0.821036,19,4.05769,1.07147
1,18ss,54.7683,165.623,141.836,1.36056,21,5.66683,2.40145
1,18ss,60.0905,161.444,145.895,1.35838,21,5.62517,2.17426
1,18ss,75.8983,165.935,141.488,1.1132,36,4.43082,1.88391
1,18ss,91.2635,160.369,142.483,1.00199,17,4.10751,1.24865
1,18ss,72.01,171.02,143.205,0.824927,25,4.12184,1.13353
1,18ss,83.3949,162.459,144.338,1.00661,22,4.37152,1.3137
1,18ss,67.9587,46.2323,146.852,1.17807,50,4.92303,1.41474
1,18ss,60.4293,43.9669,148.192,1.15583,20,4.57019,1.33975
1,18ss,51.2994,35.8403,149.389,1.06205,23,4.64114,1.2518
1,18ss,51.9275,46.8751,150.36,0.961871,28,4.34009,1.27157
1,18ss,58.0656,48.6411,150.443,1.27859,20,5.04865,1.28894
1,18ss,71.2126,42.1441,147.161,0.984437,43,4.7076,1.28819
1,18ss,45.4149,70.1328,147.715,1.0274,20,4.53714,1.0749
1,18ss,46.8766,50.9056,152.783,1.15426,143,5.11407,1.44801
1,18ss,63.8119,58.5351,147.813,1.59845,21,5.12402,1.34832
1,18ss,53.7742,68.1671,148.669,1.04058,21,4.77663,1.30837
1,18ss,63.3763,53.8497,150.35,1.22394,20,5.15961,1.37107
1,18ss,68.6056,66.8676,150.3,1.74844,20,5.04657,1.43665
1,18ss,60.1588,70.6125,150.042,1.20187,19,4.86041,1.34118
1,18ss,56.2874,55.8269,151.483,1.15068,18,4.941,1.32305
1,18ss,52.2559,58.0407,150.77,1.05364,17,4.66523,1.27198
1,18ss,55.8585,67.551,153.103,1.05317,21,4.91638,1.25308
1,18ss,71.3766,51.9539,147.09,1.29262,74,4.76433,1.40842
1,18ss,73.0583,62.7552,146.72,1.19754,20,4.9559,1.3901
1,18ss,45.2718,85.598,151.673,1.19252,18,5.19268,1.26307
1,18ss,64.4087,78.5664,147.71,1.27162,18,4.94076,1.2467
1,18ss,56.2238,92.9149,147.771,1.8892,18,5.24129,1.3243
1,18ss,57.9997,83.8052,148.972,1.15758,20,4.93184,1.33171
1,18ss,51.9527,85.0058,150.375,1.30782,30,4.98162,1.24312
1,18ss,50.3196,77.2724,150.701,1.14163,91,4.74761,1.15947
1,18ss,62.6255,86.6828,151.168,1.47752,21,5.36534,1.43354
1,18ss,67.448,90.8906,151.985,1.64841,28,5.29691,1.44656
1,18ss,53.6373,92.412,151.632,1.53723,22,5.51067,1.40413
1,18ss,59.9952,79.9418,153.135,1.20109,21,5.68564,1.34952
1,18ss,60.6176,92.5903,152.267,3.37999,23,5.43436,1.62997
1,18ss,91.3619,89.3429,147.362,1.42664,23,6.03885,1.4836
1,18ss,70.4629,74.156,147.848,1.46233,18,5.24828,1.28272
1,18ss,83.3633,78.6307,148.892,1.39921,19,5.15643,1.31381
1,18ss,76.7527,80.975,148.79,1.22265,20,5.15131,1.39871
1,18ss,83.659,89.6359,149.154,1.42083,21,5.78969,1.48767
1,18ss,78.5703,74.2887,150.086,3.00661,16,5.90969,1.40529
1,18ss,74.4526,87.1057,149.741,1.74052,89,5.57425,1.47605
1,18ss,71.0517,79.8834,151.109,1.33832,21,5.38798,1.45737
1,18ss,47.1918,95.7674,149.847,1.39195,18,5.25558,1.455
1,18ss,46.5934,105.235,149.317,1.1797,22,4.93667,1.27403
1,18ss,64.1194,105.326,147.226,1.31436,21,5.39716,1.262
1,18ss,58.5356,107.082,147.831,1.1937,19,5.16883,1.27332
1,18ss,66.3662,111.062,146.941,1.38174,21,6.44149,1.5175
1,18ss,51.6669,111.675,148.874,1.29851,48,5.91336,1.92423
1,18ss,53.0475,100.065,149.497,1.32671,19,5.00345,1.15413
1,18ss,58.3623,113.76,151.598,1.4135,97,5.8954,1.60488
1,18ss,67.9292,96.288,151.73,1.43016,23,5.67263,1.45565
1,18ss,87.8809,100.265,147.254,1.21025,22,5.14612,1.44294
1,18ss,77.8994,110.066,149.034,1.3221,36,6.05786,1.47729
1,18ss,83.7398,100.115,147.479,1.28824,26,5.43,1.36084
1,18ss,76.3168,94.4192,149.198,1.55631,23,6.14377,1.49334
1,18ss,84.3977,116.805,150.972,1.26415,79,5.64226,1.87095
1,18ss,71.6478,115.049,152.973,1.3545,60,5.94714,2.00499
1,18ss,45.8376,126.81,150.733,1.35195,89,6.07895,3.58732
1,18ss,68.7045,121.19,146.756,1.30689,216,6.87573,7.54319
1,18ss,55.5697,126.678,148.598,1.68138,123,8.41158,10.9882
1,18ss,67.3468,130.531,149.38,1.5116,191,6.52354,6.39067
1,18ss,51.3325,122.797,148.639,1.45826,160,6.93365,6.90518
1,18ss,61.87,136.397,149.62,1.88796,251,7.94403,10.6134
1,18ss,54.0383,132.877,151.232,1.50338,118,8.00144,10.518
1,18ss,60.7552,126.423,151.584,1.56326,178,8.08961,10.0774
1,18ss,77.1121,117.674,147.318,1.33237,127,6.1652,4.98076
1,18ss,80.9042,129.848,147.308,2.30368,79,9.51219,15.3944
1,18ss,70.5733,125.539,148.431,1.39699,170,7.00854,8.14997
1,18ss,89.1642,131.206,150.798,1.1076,18,4.85234,1.43265
1,18ss,77.5769,137.063,152.148,1.44141,52,5.53766,2.39954
1,18ss,84.3337,125.48,151.217,1.36416,29,5.7602,3.52711
1,18ss,100.725,117.951,148.014,1.34353,40,5.84475,1.51642
1,18ss,106.339,129.441,148.471,0.907225,37,4.33687,1.26632
1,18ss,46.4691,137.772,147.427,1.49623,214,6.60206,5.50315
1,18ss,47.192,148.032,150.03,1.47128,97,6.15605,2.43502
1,18ss,58.2731,151.18,149.889,1.56795,86,6.0177,2.625
1,18ss,63.1307,156.949,149.421,1.44502,29,5.72435,1.88134
1,18ss,66.6903,149.935,151.401,1.31641,74,5.49754,1.87445
1,18ss,60.3212,140.427,153.226,1.41424,101,6.242,3.72715
1,18ss,76.6151,156.975,147.758,1.33426,50,5.1523,1.58686
1,18ss,77.9079,145.969,147.886,1.3084,22,5.17801,1.85478
1,18ss,81.3734,139.766,148.372,1.43403,47,5.15001,2.36884
1,18ss,72.4235,152.632,148.965,1.43556,24,5.39449,1.72811
1,18ss,84.5158,156.022,149.778,1.0213,17,4.58903,1.18499
1,18ss,70.9726,143.575,150.341,1.38436,32,5.86127,2.58869
1,18ss,69.2794,160.979,148.03,1.35923,23,5.38472,1.6406
1,18ss,83.4904,160.745,149.035,1.01521,25,4.60699,1.15221
1,18ss,113.914,64.6981,139.551,2.0715,53,6.30589,1.66401
1,18ss,119.478,57.2218,135.113,2.75837,21,7.1017,1.48061
1,18ss,126.544,53.6528,135.254,1.52251,19,5.66276,1.21943
1,18ss,118.435,63.8937,136.008,1.94003,20,5.95359,1.42034
1,18ss,117.954,70.6926,136.007,3.36094,23,6.9342,1.64106
1,18ss,127.675,64.6825,136.934,2.33024,74,6.43937,1.54074
1,18ss,125.545,66.9823,138.452,2.25947,31,7.1622,1.46311
1,18ss,132.308,67.8552,138.473,1.60463,31,5.90114,1.88654
1,18ss,121.451,53.7331,138.731,1.18329,22,5.79303,1.25953
1,18ss,116.258,57.9686,139.785,1.75033,21,5.67684,1.44927
1,18ss,55.8291,87.5892,135.803,1.0641,37,4.20159,1.07616
1,18ss,48.4488,72.4082,137.052,1.00238,28,4.18792,0.952243
1,18ss,61.0145,80.8677,138.13,1.2931,16,4.73595,1.13714
1,18ss,69.7927,82.3521,137.9,1.15184,19,4.66095,1.09749
1,18ss,69.4563,72.8922,138.356,1.38625,81,4.6729,1.0754
1,18ss,48.9074,88.5696,139.031,1.15269,26,4.68329,1.10534
1,18ss,66.9865,93.0396,139.057,1.28159,18,4.66546,1.16409
1,18ss,65.0571,85.6786,139.351,1.34166,18,4.93754,1.17686
1,18ss,56.0749,72.1251,140.089,1.04257,18,4.39345,1.11013
1,18ss,60.174,89.0187,140.757,1.40383,18,4.76688,1.17216
1,18ss,80.3043,91.4653,136.839,2.15462,19,5.1248,1.29688
1,18ss,75.7007,71.3807,136.978,1.17048,39,4.4974,1.05112
1,18ss,84.1684,79.8349,136.826,2.10258,19,5.10376,1.44083
1,18ss,88.4367,87.1387,138.058,2.08599,20,5.18539,1.33839
1,18ss,84.1548,71.6038,139.24,1.26241,24,4.85045,1.22705
1,18ss,77.4325,83.4139,139.721,1.29991,20,4.92868,1.19513
1,18ss,92.0883,77.0698,140.327,2.34164,20,5.33397,1.36209
1,18ss,99.3257,82.39,135.862,1.68897,21,5.01196,1.20035
1,18ss,114.497,85.3347,134.77,2.55325,106,6.11658,4.38897
1,18ss,113.769,89.8282,135.36,2.07592,144,5.76077,3.03499
1,18ss,109.344,78.0546,135.536,1.52774,20,5.52551,1.36007
1,18ss,113.459,92.4335,138.544,1.97544,106,6.65595,5.35897
1,18ss,113.264,73.1327,137.037,2.55964,50,6.43184,1.63954
1,18ss,94.794,85.2258,137.746,2.12046,39,5.48402,1.38728
1,18ss,104.887,76.5813,139.931,1.93061,23,5.43356,1.49556
1,18ss,99.5176,72.3292,140.801,2.4069,19,5.54754,1.42509
1,18ss,101.818,85.4902,140.382,1.24323,18,5.06381,1.31598
1,18ss,126.464,89.2655,137.141,4.34908,112,6.09974,4.8457
1,18ss,118.853,86.5946,137.753,2.98579,190,5.87158,2.85758
1,18ss,133.342,76.2278,138.918,2.65864,100,6.80217,3.66626
1,18ss,122.164,80.1414,138.317,5.75156,204,6.98822,4.65791
1,18ss,128.812,83.3294,138.66,7.10256,172,7.33476,6.61137
1,18ss,121.65,91.5306,140.199,3.97308,159,6.06457,3.17124
1,18ss,125.124,75.3101,140.761,5.3477,118,6.32254,2.50832
1,18ss,119.722,72.2612,141.046,2.80181,91,6.47262,1.75875
1,18ss,128.926,90.0919,141.001,5.91018,167,6.66315,5.84534
1,18ss,140.383,73.0861,135.719,1.99862,82,6.02721,2.42852
1,18ss,144.912,80.3501,137.42,1.49828,32,5.61323,1.7148
1,18ss,138.946,84.2807,137.698,2.66418,70,6.49894,3.08659
1,18ss,46.4791,110.471,139.956,1.19086,70,4.95024,2.7984
1,18ss,66.2301,113.176,135.096,1.01796,19,6.29994,1.23623
1,18ss,54.6117,97.0883,136.394,1.30851,17,4.33885,1.00137
1,18ss,55.065,103.35,136.479,1.18201,14,3.97714,0.912012
1,18ss,49.8016,103.293,137.036,1.00638,15,4.12289,0.959977
1,18ss,52.7183,111.997,139.196,1.12984,73,5.87934,3.61812
1,18ss,63.3215,103.346,139.992,1.31381,19,4.72818,1.10654
1,18ss,84.995,95.2,135.771,1.45147,21,5.11928,1.27474
1,18ss,91.9599,107.716,135.018,1.39819,165,6.07392,3.73509
1,18ss,87.6558,109.113,136.249,1.31955,224,5.94144,3.50908
1,18ss,84.355,112.18,136.603,1.37334,151,5.58384,2.69736
1,18ss,74.492,102.076,138.662,2.16854,19,4.99778,1.19409
1,18ss,78.4986,98.1483,138.963,1.54227,18,5.08349,1.13178
1,18ss,77.7882,110.89,139.649,1.3198,43,7.45246,1.50877
1,18ss,84.3877,100.464,141.099,1.36852,25,5.71634,1.37025
1,18ss,75.5992,115.456,140.847,1.17614,54,5.9474,3.06083
1,18ss,99.4638,104.699,135.567,1.57852,79,5.92629,1.89698
1,18ss,104.625,113.491,134.825,1.9685,209,6.30767,6.10215
1,18ss,96.2306,111.891,136.246,1.51364,77,5.93453,3.97286
1,18ss,92.9118,96.8484,137.901,1.43327,21,5.58822,1.33861
1,18ss,102.891,96.9756,137.469,1.67413,100,5.55919,1.90847
1,18ss,108.618,108.593,138.712,2.36723,104,5.95867,3.14656
1,18ss,113.389,99.6658,139.775,1.69938,102,5.235,2.42845
1,18ss,133.447,104.027,135.794,6.66233,199,6.00802,4.95108
1,18ss,124.297,100.047,137.455,3.92379,178,6.55825,6.18835
1,18ss,133.902,94.1668,137.747,9.88773,131,6.89944,5.93033
1,18ss,138.932,106.159,137.502,3.01113,108,5.71537,1.88183
1,18ss,125.817,110.868,137.434,3.6363,159,6.15932,4.36921
1,18ss,120.098,99.8073,138.317,3.48783,132,7.09012,7.81031
1,18ss,138.948,93.8217,138.52,2.53168,92,6.29476,2.08831
1,18ss,126.71,100.128,139.93,5.41826,207,7.54954,8.71859
1,18ss,141.099,114.192,134.309,2.19654,103,5.3333,1.78628
1,18ss,144.665,94.1063,138.689,1.41508,21,5.71533,1.5273
1,18ss,59.0887,118.237,135.882,1.11098,102,5.03547,3.06338
1,18ss,67.2918,125.457,135.603,1.06625,81,5.10036,3.59414
1,18ss,51.9583,134.837,135.558,1.07424,129,5.74049,5.36566
1,18ss,65.4269,137.289,135.812,1.11329,93,4.8468,3.28124
1,18ss,48.9005,118.316,137.906,1.15471,122,5.69053,4.5173
1,18ss,70.6544,125.005,139.002,1.27204,129,5.66921,4.13519
1,18ss,53.816,126.307,139.805,1.15995,101,5.57044,3.87134
1,18ss,55.7745,120.269,140.26,1.23335,168,5.79064,4.17622
1,18ss,84.9273,128.221,135.85,1.183,65,5.41877,5.34558
1,18ss,84.0248,121.032,137.7,1.20717,115,5.78033,4.56895
1,18ss,91.8864,116.283,138.904,1.54768,110,6.89958,7.62367
1,18ss,89.0383,128.113,139.948,2.34062,161,5.3247,4.92048
1,18ss,77.013,128.821,138.99,1.29911,92,5.97198,6.59152
1,18ss,74.8315,122.934,136.687,1.20582,169,5.32397,4.12927
1,18ss,102.575,124.617,135.854,1.20796,48,5.3008,3.30547
1,18ss,114.396,126.954,135.667,2.35341,88,5.24559,4.58082
1,18ss,111.762,136.398,135.929,1.65667,77,4.98404,4.08994
1,18ss,93.8038,126.084,135.928,1.62903,110,5.38006,5.18193
1,18ss,107.587,123.521,136.967,1.95011,140,4.98896,3.52077
1,18ss,111.063,115.481,137.459,3.9568,234,6.47935,6.12987
1,18ss,103.821,135.573,138.046,1.6094,32,4.81333,3.66169
1,18ss,96.268,133.534,138.321,2.42263,34,5.19396,4.36142
1,18ss,99.1406,127.178,139.543,1.53875,74,5.71945,5.45875
1,18ss,107.083,129.695,140.379,1.47215,160,5.28978,4.5678
1,18ss,128.852,117.132,136.175,3.36558,246,6.69976,6.98389
1,18ss,116.779,120.549,138.452,4.43127,143,6.77355,7.70486
1,18ss,122.636,122.439,137.83,4.2005,219,6.18721,5.5761
1,18ss,133.5,125.984,137.897,1.56133,64,5.29712,1.89873
1,18ss,133.661,116.486,140.323,1.84137,79,5.87126,2.00104
1,18ss,124.214,129.907,140.322,2.30029,89,4.99883,1.95632
1,18ss,46.1702,136.319,139.225,1.92099,232,6.77169,7.15154
1,18ss,48.0337,157.224,136.179,1.41337,177,7.722,9.96719
1,18ss,55.6029,146.241,137.13,1.39232,96,6.5771,7.48829
1,18ss,66.7299,149.565,137.3,1.1709,26,5.17123,3.19797
1,18ss,68.2433,143.809,138.568,1.60837,66,5.86747,4.84916
1,18ss,53.7037,154.729,139.023,1.55177,67,8.18538,11.1702
1,18ss,59.0631,148.465,140.1,1.26865,63,6.34128,5.98164
1,18ss,50.1274,138.471,141.507,1.51571,171,7.90714,9.91041
1,18ss,74.888,147.814,135.411,1.0708,120,5.08034,3.97131
1,18ss,80.6118,158.496,135.954,1.11692,64,4.56982,3.6166
1,18ss,89.7593,146.814,137.178,0.981679,23,4.84523,4.28384
1,18ss,87.8165,153.526,137.652,2.43223,42,5.09141,5.65547
1,18ss,93.1094,141.194,138.808,1.89884,54,6.41349,8.56233
1,18ss,76.0961,137.62,139.817,1.35087,242,5.89684,6.14582
1,18ss,82.2035,143.479,139.708,2.15278,136,5.91385,5.9587
1,18ss,78.1658,149.463,139.328,2.04009,154,5.47899,5.4258
1,18ss,110.114,145.052,135.194,2.48527,39,4.55655,3.92463
1,18ss,103.606,148.215,135.527,2.1344,65,5.73106,7.17133
1,18ss,97.6988,147.75,135.62,2.26655,66,4.91923,4.87556
1,18ss,107.636,155.134,138.775,0.926633,20,4.10128,1.73799
1,18ss,106.98,150.958,139.84,1.30088,18,4.49085,2.1274
1,18ss,119.689,154.126,136.789,0.635207,14,3.20459,0.737005
1,18ss,117.855,137.623,136.984,2.21513,72,4.75516,3.33119
1,18ss,117.096,148.592,137.818,0.869741,17,3.75456,1.15213
1,18ss,68.3515,166.126,136.265,1.05951,51,6.48845,7.92967
1,18ss,64.7673,159.718,137.223,3.47638,99,6.54013,7.45666
1,18ss,54.9651,160.263,138.733,1.74073,109,10.5438,18.3074
1,18ss,62.6398,167.445,140.305,1.07792,67,4.84577,2.32801
1,18ss,73.5824,161.555,136.96,1.47932,175,6.02873,7.57596
1,18ss,85.9081,165.122,139.621,0.804627,21,3.73793,1.38734
1,18ss,88.4708,171.389,140.504,0.378897,11,2.38654,0.655725
1,18ss,97.5091,160.724,136.791,0.728057,14,3.31918,1.24234
1,18ss,99.7071,166.785,138.27,0.379979,10,2.36059,0.536644
1,18ss,52.9064,25.5413,143.449,0.723742,32,3.33181,0.845417
1,18ss,85.5798,24.7316,140.547,1.02398,24,4.41823,1.27329
1,18ss,45.8824,35.1889,143.084,0.812636,17,4.2207,1.00218
1,18ss,46.7411,28.309,144.222,0.756814,17,3.67245,0.856019
1,18ss,53.9578,45.8354,141.495,1.04309,17,4.31308,0.99733
1,18ss,50.3137,36.9302,142.372,1.13751,18,4.14225,0.986876
1,18ss,54.153,40.574,145.073,1.00984,23,4.37141,1.08617
1,18ss,57.5657,36.603,146.269,1.22352,20,5.12291,1.27126
1,18ss,64.5383,35.1363,146.807,1.09699,38,4.82501,1.19793
1,18ss,65.0447,39.8,145.494,1.16016,20,4.98572,1.35056
1,18ss,63.7257,29.7618,147.133,0.996746,18,4.68954,1.24414
1,18ss,84.5919,32.6582,141.259,1.23817,22,4.81422,1.21499
1,18ss,77.3141,33.1466,141.362,1.12276,17,4.55555,1.21511
1,18ss,92.1322,38.0327,141.905,1.24191,20,4.93546,1.35196
1,18ss,73.9746,40.9874,142.698,1.20715,21,4.98283,1.20862
1,18ss,86.0932,38.5763,143.666,1.80135,18,5.14979,1.42699
1,18ss,82.7453,29.9608,144.34,1.21189,32,5.24378,1.44168
1,18ss,83.3702,47.6392,143.889,1.34779,22,5.13018,1.34382
1,18ss,90.1102,44.2159,144.645,2.27842,16,5.32177,1.41185
1,18ss,74.0964,29.606,144.774,1.26062,62,5.11975,1.41482
1,18ss,78.0644,40.3707,145.383,1.24383,27,4.98125,1.3393
1,18ss,93.8669,46.3047,141.029,1.86295,20,5.27751,1.45768
1,18ss,99.6501,37.0612,141.7,1.3767,53,5.21913,1.35786
1,18ss,45.5884,49.4552,142.718,1.07842,19,4.16126,1.10336
1,18ss,57.4275,64.9546,141.682,1.05206,24,4.49765,1.08645
1,18ss,68.9301,56.707,141.93,1.30388,19,4.5162,1.12049
1,18ss,49.8123,67.3557,143.314,1.05254,25,4.8447,1.08677
1,18ss,58.9029,50.8397,144.264,1.31019,16,4.55879,1.20435
1,18ss,63.7312,49.1432,144.872,1.51559,28,4.62247,1.22062
1,18ss,61.6109,64.1432,144.52,1.23259,24,5.15704,1.26495
1,18ss,51.697,50.663,145.058,1.00298,41,4.3916,1.1019
1,18ss,55.6459,58.8509,145.772,1.23359,21,4.77263,1.22128
1,18ss,48.2432,60.1831,146.704,1.01876,57,4.44268,1.05352
1,18ss,71.9774,68.0355,142.576,1.68496,68,4.83302,1.24469
1,18ss,78.9725,64.371,143.571,1.4797,20,4.94774,1.36269
1,18ss,83.9981,54.3422,144.576,2.23641,16,4.88903,1.35211
1,18ss,89.4955,55.3694,144.297,1.78937,18,5.35603,1.36969
1,18ss,84.0868,63.397,145.109,1.76441,23,5.01283,1.37371
1,18ss,91.8217,62.174,145.609,1.56787,20,5.30743,1.37222
